,date,state,death,deathConfirmed,deathIncrease,hospitalizedCurrently,hospitalizedIncrease,negative,positive,positiveIncrease,totalTestResults,totalTestResultsIncrease
25,2020-11-29,MN,3578.0,3507.0,57,1785.0,220,2206087.0,312969.0,8946,4116741.0,89486
81,2020-11-28,MN,3521.0,3453.0,45,1785.0,380,2170530.0,304023.0,9022,4027255.0,105119
137,2020-11-27,MN,3476.0,3410.0,101,1785.0,277,2131220.0,295001.0,5698,3922136.0,49074
193,2020-11-26,MN,3375.0,3313.0,0,1812.0,0,2113887.0,289303.0,0,3873062.0,0
249,2020-11-25,MN,3375.0,3313.0,72,1812.0,322,2113887.0,289303.0,6387,3873062.0,63086
305,2020-11-24,MN,3303.0,3243.0,38,1828.0,338,2087289.0,282916.0,6416,3809976.0,53199
361,2020-11-23,MN,3265.0,3205.0,24,1778.0,177,2069219.0,276500.0,6343,3756777.0,56434
417,2020-11-22,MN,3241.0,3181.0,40,1784.0,184,2048597.0,270157.0,7205,3700343.0,60166
473,2020-11-21,MN,3201.0,3141.0,51,1784.0,283,2019406.0,262952.0,6252,3640177.0,51620
529,2020-11-20,MN,3150.0,3093.0,68,1784.0,291,2007578.0,256700.0,6794,3588557.0,53812
585,2020-11-19,MN,3082.0,3029.0,72,1751.0,279,1986910.0,249906.0,7863,3534745.0,55821
641,2020-11-18,MN,3010.0,2961.0,67,1706.0,298,1965766.0,242043.0,5094,3478924.0,33677
697,2020-11-17,MN,2943.0,2898.0,26,1669.0,343,1954244.0,236949.0,5931,3445247.0,31555
753,2020-11-16,MN,2917.0,2873.0,12,1558.0,177,1945267.0,231018.0,7437,3413692.0,49157
809,2020-11-15,MN,2905.0,2861.0,31,1424.0,159,1927701.0,223581.0,7553,3364535.0,62036
865,2020-11-14,MN,2874.0,2836.0,35,1424.0,271,1903051.0,216028.0,8689,3302499.0,50948
921,2020-11-13,MN,2839.0,2802.0,46,1424.0,201,1888174.0,207339.0,5544,3251551.0,48226
977,2020-11-12,MN,2793.0,2756.0,39,1329.0,292,1868919.0,201795.0,7225,3203325.0,53217
1033,2020-11-11,MN,2754.0,2720.0,56,1299.0,218,1850746.0,194570.0,4889,3150108.0,14112
1089,2020-11-10,MN,2698.0,2668.0,23,1224.0,262,1844204.0,189681.0,4893,3135996.0,32562
1145,2020-11-09,MN,2675.0,2645.0,19,1084.0,144,1834067.0,184788.0,3926,3103434.0,25468
1201,2020-11-08,MN,2656.0,2626.0,31,1038.0,133,1823720.0,180862.0,5908,3077966.0,42572
1257,2020-11-07,MN,2625.0,2597.0,34,1038.0,201,1808489.0,174954.0,4647,3035394.0,44429
1313,2020-11-06,MN,2591.0,2563.0,36,1038.0,177,1793542.0,170307.0,5442,2990965.0,43812
1369,2020-11-05,MN,2555.0,2530.0,25,931.0,167,1776631.0,164865.0,3942,2947153.0,32216
1425,2020-11-04,MN,2530.0,2505.0,31,908.0,202,1759542.0,160923.0,3827,2914937.0,31199
1481,2020-11-03,MN,2499.0,2478.0,15,852.0,210,1742917.0,157096.0,3476,2883738.0,10975
1537,2020-11-02,MN,2484.0,2463.0,9,774.0,103,1739289.0,153620.0,2948,2872763.0,36536
1593,2020-11-01,MN,2475.0,2455.0,18,738.0,64,1719173.0,150672.0,2200,2836227.0,27094
1649,2020-10-31,MN,2457.0,2438.0,20,738.0,151,1705786.0,148472.0,3007,2809133.0,34438
1705,2020-10-30,MN,2437.0,2420.0,18,738.0,128,1691334.0,145465.0,3154,2774695.0,31826
1761,2020-10-29,MN,2419.0,2404.0,32,867.0,136,1678084.0,142311.0,2867,2742869.0,29792
1817,2020-10-28,MN,2387.0,2373.0,19,680.0,126,1662060.0,139444.0,1908,2713077.0,14964
1873,2020-10-27,MN,2368.0,2354.0,15,658.0,141,1654542.0,137536.0,2164,2698113.0,14099
1929,2020-10-26,MN,2353.0,2339.0,4,614.0,77,1648940.0,135372.0,1570,2684014.0,23691
1985,2020-10-25,MN,2349.0,2335.0,21,584.0,67,1636931.0,133802.0,1680,2660323.0,34933
2041,2020-10-24,MN,2328.0,2316.0,14,584.0,106,1611993.0,132122.0,2259,2625390.0,34465
2097,2020-10-23,MN,2314.0,2302.0,13,584.0,112,1604382.0,129863.0,1711,2590925.0,26434
2153,2020-10-22,MN,2301.0,2289.0,20,584.0,79,1594745.0,128152.0,1561,2564491.0,25115
2209,2020-10-21,MN,2281.0,2269.0,35,588.0,105,1581923.0,126591.0,1060,2539376.0,16377
2265,2020-10-20,MN,2246.0,2235.0,7,567.0,126,1574734.0,125531.0,1092,2522999.0,11604
2321,2020-10-19,MN,2239.0,2229.0,5,532.0,50,1570130.0,124439.0,1627,2511395.0,22177
2377,2020-10-18,MN,2234.0,2224.0,17,484.0,65,1558506.0,122812.0,1722,2489218.0,30947
2433,2020-10-17,MN,2217.0,2208.0,5,484.0,83,1540533.0,121090.0,1694,2458271.0,27720
2489,2020-10-16,MN,2212.0,2203.0,13,484.0,66,1527559.0,119396.0,2290,2430551.0,43703
2545,2020-10-15,MN,2199.0,2192.0,19,445.0,67,1506411.0,117106.0,1163,2386848.0,19504
2601,2020-10-14,MN,2180.0,2174.0,-24,487.0,85,1497468.0,115943.0,1369,2367344.0,12220
2657,2020-10-13,MN,2204.0,2151.0,7,481.0,79,1486287.0,114574.0,1135,2355124.0,18002
2713,2020-10-12,MN,2197.0,2144.0,3,446.0,67,1476313.0,113439.0,1171,2337122.0,18312
2769,2020-10-11,MN,2194.0,2141.0,10,471.0,52,1466456.0,112268.0,1440,2318810.0,30148
2825,2020-10-10,MN,2184.0,2131.0,10,471.0,51,1450275.0,110828.0,1516,2288662.0,32497
2881,2020-10-09,MN,2174.0,2121.0,14,471.0,64,1434230.0,109312.0,1390,2256165.0,31971
2937,2020-10-08,MN,2160.0,2107.0,6,457.0,98,1418637.0,107922.0,1271,2224194.0,28312
2993,2020-10-07,MN,2154.0,2101.0,14,367.0,69,1404490.0,106651.0,911,2195882.0,12912
3049,2020-10-06,MN,2140.0,2087.0,4,367.0,80,1396996.0,105740.0,941,2182970.0,13184
3105,2020-10-05,MN,2136.0,2083.0,3,367.0,53,1389378.0,104799.0,973,2169786.0,23375
3161,2020-10-04,MN,2133.0,2080.0,7,,41,1376393.0,103826.0,1039,2146411.0,30373
3217,2020-10-03,MN,2126.0,2073.0,14,,53,1359745.0,102787.0,1421,2116038.0,29075
3273,2020-10-02,MN,2112.0,2059.0,10,340.0,35,1345684.0,101366.0,1166,2086963.0,31075
3329,2020-10-01,MN,2102.0,2049.0,13,340.0,57,1329375.0,100200.0,1066,2055888.0,25721
3385,2020-09-30,MN,2089.0,2036.0,17,340.0,68,1315567.0,99134.0,687,2030167.0,12817
3441,2020-09-29,MN,2072.0,2020.0,5,340.0,87,1308131.0,98447.0,809,2017350.0,14235
3497,2020-09-28,MN,2067.0,2015.0,7,340.0,53,1300227.0,97638.0,904,2003115.0,22015
3553,2020-09-27,MN,2060.0,2008.0,4,340.0,50,1287778.0,96734.0,1075,1981100.0,26385
3609,2020-09-26,MN,2056.0,2004.0,10,340.0,52,1273023.0,95659.0,1470,1954715.0,30695
3665,2020-09-25,MN,2046.0,1994.0,6,303.0,56,1256967.0,94189.0,1177,1924020.0,28718
3721,2020-09-24,MN,2040.0,1988.0,3,303.0,32,1243839.0,93012.0,912,1895302.0,21435
3777,2020-09-23,MN,2037.0,1985.0,6,303.0,50,1231851.0,92100.0,678,1873867.0,10173
3833,2020-09-22,MN,2031.0,1979.0,10,290.0,54,1226011.0,91422.0,480,1863694.0,8386
3889,2020-09-21,MN,2021.0,1969.0,4,255.0,36,1221995.0,90942.0,925,1855308.0,16916
3945,2020-09-20,MN,2017.0,1965.0,2,248.0,39,1213458.0,90017.0,1296,1838392.0,22618
4001,2020-09-19,MN,2015.0,1963.0,13,241.0,33,1202674.0,88721.0,914,1815774.0,24094
4057,2020-09-18,MN,2002.0,1950.0,8,250.0,41,1191030.0,87807.0,1085,1791680.0,27945
4113,2020-09-17,MN,1994.0,1942.0,9,242.0,31,1176824.0,86722.0,909,1763735.0,20124
4169,2020-09-16,MN,1985.0,1933.0,6,244.0,40,1166579.0,85813.0,462,1743611.0,10319
4225,2020-09-15,MN,1979.0,1927.0,5,238.0,25,1162516.0,85351.0,402,1733292.0,8513
4281,2020-09-14,MN,1974.0,1922.0,3,233.0,23,1158406.0,84949.0,638,1724779.0,17265
4337,2020-09-13,MN,1971.0,1919.0,13,241.0,32,1148994.0,84311.0,723,1707514.0,22994
4393,2020-09-12,MN,1958.0,1906.0,9,247.0,36,1138934.0,83588.0,872,1684520.0,19192
4449,2020-09-11,MN,1949.0,1897.0,13,253.0,33,1129844.0,82716.0,467,1665328.0,18367
4505,2020-09-10,MN,1936.0,1884.0,15,257.0,38,1123252.0,82249.0,381,1646961.0,25787
4561,2020-09-09,MN,1921.0,1869.0,7,263.0,32,1122325.0,81868.0,260,1621174.0,4436
4617,2020-09-08,MN,1914.0,1862.0,2,257.0,17,1120262.0,81608.0,383,1616738.0,7120
4673,2020-09-07,MN,1912.0,1860.0,3,275.0,24,1116450.0,81225.0,638,1609618.0,14979
4729,2020-09-06,MN,1909.0,1857.0,6,284.0,43,1107706.0,80587.0,707,1594639.0,17173
4785,2020-09-05,MN,1903.0,1851.0,4,279.0,41,1097920.0,79880.0,914,1577466.0,18635
4841,2020-09-04,MN,1899.0,1847.0,10,274.0,43,1089341.0,78966.0,843,1558831.0,18724
4897,2020-09-03,MN,1889.0,1837.0,7,272.0,26,1080265.0,78123.0,1038,1540107.0,14552
4953,2020-09-02,MN,1882.0,1830.0,10,297.0,46,1073769.0,77085.0,730,1525555.0,26636
5009,2020-09-01,MN,1872.0,1823.0,6,294.0,40,1056567.0,76355.0,491,1498919.0,9193
5065,2020-08-31,MN,1866.0,1817.0,1,306.0,26,1052159.0,75864.0,675,1489726.0,11294
5121,2020-08-30,MN,1865.0,1816.0,2,315.0,43,1046882.0,75189.0,932,1478432.0,18051
5177,2020-08-29,MN,1863.0,1814.0,4,313.0,54,1036880.0,74257.0,1017,1460381.0,17037
5233,2020-08-28,MN,1859.0,1810.0,4,301.0,31,1028470.0,73240.0,850,1443344.0,15997
5289,2020-08-27,MN,1855.0,1806.0,13,305.0,52,1021100.0,72390.0,1154,1427347.0,21340
5345,2020-08-26,MN,1842.0,1793.0,17,304.0,36,1007811.0,71236.0,529,1406007.0,11021
5401,2020-08-25,MN,1825.0,1779.0,8,312.0,43,1001819.0,70707.0,409,1394986.0,8473
5457,2020-08-24,MN,1817.0,1771.0,4,310.0,44,997512.0,70298.0,714,1386513.0,11977
5513,2020-08-23,MN,1813.0,1767.0,6,301.0,38,990736.0,69584.0,717,1374536.0,16941
5569,2020-08-22,MN,1807.0,1761.0,8,316.0,49,982389.0,68867.0,734,1357595.0,16745
5625,2020-08-21,MN,1799.0,1753.0,8,296.0,45,973404.0,68133.0,825,1340850.0,18630
5681,2020-08-20,MN,1791.0,1745.0,7,309.0,31,962785.0,67308.0,690,1322220.0,13956
5737,2020-08-19,MN,1784.0,1738.0,17,321.0,56,954308.0,66618.0,557,1308264.0,34867
5793,2020-08-18,MN,1767.0,1721.0,9,304.0,46,937245.0,66061.0,345,1273397.0,6836
5849,2020-08-17,MN,1758.0,1712.0,6,286.0,35,934307.0,65716.0,564,1266561.0,12353
5905,2020-08-16,MN,1752.0,1706.0,7,290.0,29,928902.0,65152.0,739,1254208.0,17290
5961,2020-08-15,MN,1745.0,1699.0,6,307.0,39,920060.0,64413.0,690,1236918.0,17102
6017,2020-08-14,MN,1739.0,1693.0,8,313.0,41,909823.0,63723.0,730,1219816.0,16257
6073,2020-08-13,MN,1731.0,1685.0,7,308.0,31,900103.0,62993.0,690,1203559.0,15271
6129,2020-08-12,MN,1724.0,1678.0,17,335.0,50,890482.0,62303.0,464,1188288.0,10353
6185,2020-08-11,MN,1707.0,1666.0,6,337.0,55,884191.0,61839.0,323,1177935.0,5817
6241,2020-08-10,MN,1701.0,1660.0,3,320.0,51,882644.0,61516.0,618,1172118.0,12979
6297,2020-08-09,MN,1698.0,1657.0,9,312.0,49,874075.0,60898.0,797,1159139.0,20544
6353,2020-08-08,MN,1689.0,1648.0,8,309.0,48,861296.0,60101.0,916,1138595.0,17296
6409,2020-08-07,MN,1681.0,1640.0,4,300.0,37,851086.0,59185.0,545,1121299.0,16205
6465,2020-08-06,MN,1677.0,1636.0,7,319.0,48,840840.0,58640.0,861,1105094.0,14791
6521,2020-08-05,MN,1670.0,1629.0,10,305.0,27,829844.0,57779.0,617,1090303.0,11608
6577,2020-08-04,MN,1660.0,1620.0,4,328.0,48,820949.0,57162.0,602,1078695.0,7770
6633,2020-08-03,MN,1656.0,1616.0,2,302.0,57,815444.0,56560.0,613,1070925.0,15963
6689,2020-08-02,MN,1654.0,1614.0,8,302.0,33,802394.0,55947.0,759,1054962.0,14645
6745,2020-08-01,MN,1646.0,1606.0,6,317.0,53,791080.0,55188.0,725,1040317.0,15401
6801,2020-07-31,MN,1640.0,1600.0,6,312.0,43,779891.0,54463.0,771,1024916.0,17034
6857,2020-07-30,MN,1634.0,1594.0,5,298.0,35,954190.0,53692.0,745,1007882.0,14791
6913,2020-07-29,MN,1629.0,1589.0,9,310.0,49,940144.0,52947.0,666,993091.0,13103
6969,2020-07-28,MN,1620.0,1580.0,4,294.0,67,927707.0,52281.0,478,979988.0,9262
7025,2020-07-27,MN,1616.0,1576.0,2,257.0,41,918923.0,51803.0,650,970726.0,13352
7081,2020-07-26,MN,1614.0,1574.0,3,273.0,31,906221.0,51153.0,862,957374.0,16678
7137,2020-07-25,MN,1611.0,1571.0,5,287.0,37,890405.0,50291.0,803,940696.0,17820
7193,2020-07-24,MN,1606.0,1566.0,5,278.0,34,873388.0,49488.0,767,922876.0,17561
7249,2020-07-23,MN,1601.0,1561.0,9,282.0,47,856594.0,48721.0,760,905315.0,16764
7305,2020-07-22,MN,1592.0,1552.0,4,273.0,48,840590.0,47961.0,504,888551.0,11692
7361,2020-07-21,MN,1588.0,1548.0,3,266.0,45,829402.0,47457.0,350,876859.0,9449
7417,2020-07-20,MN,1585.0,1545.0,4,247.0,51,820303.0,47107.0,903,867410.0,14222
7473,2020-07-19,MN,1581.0,1541.0,3,258.0,25,806984.0,46204.0,734,853188.0,17226
7529,2020-07-18,MN,1578.0,1538.0,5,265.0,39,790492.0,45470.0,457,835962.0,16451
7585,2020-07-17,MN,1573.0,1533.0,7,252.0,37,774498.0,45013.0,666,819511.0,14299
7641,2020-07-16,MN,1566.0,1526.0,8,249.0,31,760865.0,44347.0,605,805212.0,14715
7697,2020-07-15,MN,1558.0,1518.0,10,254.0,43,746755.0,43742.0,572,790497.0,12883
7753,2020-07-14,MN,1548.0,1510.0,6,236.0,28,734444.0,43170.0,398,777614.0,8625
7809,2020-07-13,MN,1542.0,1504.0,2,247.0,25,726217.0,42772.0,491,768989.0,13937
7865,2020-07-12,MN,1540.0,1502.0,3,251.0,33,712771.0,42281.0,710,755052.0,12957
7921,2020-07-11,MN,1537.0,1499.0,4,241.0,37,700524.0,41571.0,804,742095.0,16270
7977,2020-07-10,MN,1533.0,1495.0,5,227.0,24,685058.0,40767.0,604,725825.0,20385
8033,2020-07-09,MN,1528.0,1490.0,5,251.0,33,665277.0,40163.0,574,705440.0,12470
8089,2020-07-08,MN,1523.0,1485.0,9,265.0,20,653381.0,39589.0,456,692970.0,7723
8145,2020-07-07,MN,1514.0,1477.0,3,267.0,33,646114.0,39133.0,564,685247.0,5554
8201,2020-07-06,MN,1511.0,1474.0,3,258.0,49,641124.0,38569.0,433,679693.0,5678
8257,2020-07-05,MN,1508.0,1471.0,5,253.0,31,635879.0,38136.0,512,674015.0,28843
8313,2020-07-04,MN,1503.0,1466.0,0,270.0,0,607548.0,37624.0,0,645172.0,0
8369,2020-07-03,MN,1503.0,1466.0,8,270.0,27,607548.0,37624.0,414,645172.0,14745
8425,2020-07-02,MN,1495.0,1458.0,13,274.0,31,593217.0,37210.0,494,630427.0,13320
8481,2020-07-01,MN,1482.0,1445.0,6,260.0,27,580391.0,36716.0,413,617107.0,11791
8537,2020-06-30,MN,1476.0,1441.0,6,270.0,23,569013.0,36303.0,442,605316.0,12361
8593,2020-06-29,MN,1470.0,1435.0,10,278.0,21,557094.0,35861.0,312,592955.0,7538
8649,2020-06-28,MN,1460.0,1425.0,8,288.0,24,549868.0,35549.0,516,585417.0,16510
8705,2020-06-27,MN,1452.0,1417.0,6,300.0,20,533874.0,35033.0,417,568907.0,11629
8761,2020-06-26,MN,1446.0,1411.0,5,335.0,23,522662.0,34616.0,493,557278.0,14582
8817,2020-06-25,MN,1441.0,1406.0,9,336.0,46,508573.0,34123.0,360,542696.0,13053
8873,2020-06-24,MN,1432.0,1397.0,7,340.0,37,495880.0,33763.0,294,529643.0,9598
8929,2020-06-23,MN,1425.0,1393.0,9,339.0,30,486576.0,33469.0,242,520045.0,6908
8985,2020-06-22,MN,1416.0,1384.0,4,332.0,33,479910.0,33227.0,307,513137.0,8774
9041,2020-06-21,MN,1412.0,1380.0,8,322.0,30,471443.0,32920.0,453,504363.0,12320
9097,2020-06-20,MN,1404.0,1372.0,11,324.0,19,459576.0,32467.0,436,492043.0,16891
9153,2020-06-19,MN,1393.0,1361.0,17,339.0,30,443121.0,32031.0,356,475152.0,14273
9209,2020-06-18,MN,1376.0,1344.0,19,345.0,29,429204.0,31675.0,379,460879.0,12292
9265,2020-06-17,MN,1357.0,1325.0,13,351.0,31,417291.0,31296.0,414,448587.0,19442
9321,2020-06-16,MN,1344.0,1313.0,9,357.0,28,398263.0,30882.0,189,429145.0,6223
9377,2020-06-15,MN,1335.0,1304.0,6,353.0,20,392229.0,30693.0,222,422922.0,5212
9433,2020-06-14,MN,1329.0,1298.0,15,369.0,29,387239.0,30471.0,6,417710.0,0
9489,2020-06-13,MN,1314.0,1283.0,9,390.0,24,387245.0,30465.0,2,417710.0,9658
9545,2020-06-12,MN,1305.0,1274.0,25,403.0,35,377589.0,30463.0,45,408052.0,12818
9601,2020-06-11,MN,1280.0,1249.0,13,411.0,40,364816.0,30418.0,219,395234.0,13401
9657,2020-06-10,MN,1267.0,1236.0,39,427.0,41,351634.0,30199.0,333,381833.0,12040
9713,2020-06-09,MN,1228.0,1217.0,20,455.0,40,339927.0,29866.0,430,369793.0,8881
9769,2020-06-08,MN,1208.0,1197.0,11,452.0,34,331476.0,29436.0,448,360912.0,7771
9825,2020-06-07,MN,1197.0,1186.0,16,450.0,31,324153.0,28988.0,135,353141.0,9544
9881,2020-06-06,MN,1181.0,1170.0,22,473.0,47,314744.0,28853.0,165,343597.0,10412
9937,2020-06-05,MN,1159.0,1148.0,33,478.0,36,304497.0,28688.0,398,333185.0,11037
9993,2020-06-04,MN,1126.0,1115.0,29,512.0,50,293858.0,28290.0,401,322148.0,10940
10049,2020-06-03,MN,1097.0,1086.0,15,537.0,69,283319.0,27889.0,513,311208.0,15901
10105,2020-06-02,MN,1082.0,1072.0,22,537.0,48,267931.0,27376.0,479,295307.0,7671
10161,2020-06-01,MN,1060.0,1050.0,10,549.0,39,260739.0,26897.0,575,287636.0,4181
10217,2020-05-31,MN,1050.0,1040.0,14,555.0,36,257133.0,26322.0,141,283455.0,6882
10273,2020-05-30,MN,1036.0,1026.0,30,589.0,75,250392.0,26181.0,168,276573.0,8436
10329,2020-05-29,MN,1006.0,996.0,29,592.0,56,242124.0,26013.0,454,268137.0,10383
10385,2020-05-28,MN,977.0,967.0,35,606.0,84,232195.0,25559.0,571,257754.0,9945
10441,2020-05-27,MN,942.0,932.0,34,598.0,87,222821.0,24988.0,680,247809.0,9527
10497,2020-05-26,MN,908.0,899.0,18,570.0,33,213974.0,24308.0,784,238282.0,6942
10553,2020-05-25,MN,890.0,881.0,12,605.0,88,207816.0,23524.0,403,231340.0,6653
10609,2020-05-24,MN,878.0,869.0,17,553.0,54,201566.0,23121.0,356,224687.0,6981
10665,2020-05-23,MN,861.0,852.0,10,568.0,102,194941.0,22765.0,391,217706.0,8896
10721,2020-05-22,MN,851.0,842.0,33,534.0,52,186436.0,22374.0,792,208810.0,9722
10777,2020-05-21,MN,818.0,809.0,32,566.0,72,177506.0,21582.0,973,199088.0,8280
10833,2020-05-20,MN,786.0,777.0,29,550.0,87,170199.0,20609.0,767,190808.0,6957
10889,2020-05-19,MN,757.0,748.0,17,545.0,93,164009.0,19842.0,855,183851.0,6377
10945,2020-05-18,MN,740.0,731.0,9,488.0,38,158487.0,18987.0,971,177474.0,6397
11001,2020-05-17,MN,731.0,722.0,22,487.0,51,153069.0,18016.0,311,171077.0,5973
11057,2020-05-16,MN,709.0,700.0,17,493.0,54,147399.0,17705.0,342,165104.0,7968
11113,2020-05-15,MN,692.0,683.0,29,498.0,70,139773.0,17363.0,798,157136.0,9128
11169,2020-05-14,MN,663.0,663.0,25,498.0,64,131443.0,16565.0,793,148008.0,6734
11225,2020-05-13,MN,638.0,638.0,24,494.0,52,125502.0,15772.0,729,141274.0,7297
11281,2020-05-12,MN,614.0,614.0,23,496.0,83,118934.0,15043.0,664,133977.0,4013
11337,2020-05-11,MN,591.0,591.0,13,452.0,59,115585.0,14379.0,827,129964.0,5303
11393,2020-05-10,MN,578.0,578.0,20,434.0,45,111109.0,13552.0,231,124661.0,5300
11449,2020-05-09,MN,558.0,558.0,24,476.0,63,106040.0,13321.0,281,119361.0,4913
11505,2020-05-08,MN,534.0,534.0,26,473.0,90,101408.0,13040.0,712,114448.0,4876
11561,2020-05-07,MN,508.0,508.0,23,435.0,54,97244.0,12328.0,818,109572.0,5015
11617,2020-05-06,MN,485.0,485.0,30,443.0,55,93047.0,11510.0,634,104557.0,4479
11673,2020-05-05,MN,455.0,455.0,27,434.0,79,89202.0,10876.0,641,100078.0,3166
11729,2020-05-04,MN,428.0,428.0,9,396.0,72,86677.0,10235.0,824,96912.0,4068
11785,2020-05-03,MN,419.0,419.0,24,373.0,40,83433.0,9411.0,340,92844.0,3164
11841,2020-05-02,MN,395.0,,24,389.0,63,80609.0,9071.0,335,89680.0,3730
11897,2020-05-01,MN,371.0,,28,369.0,52,77214.0,8736.0,620,85950.0,4485
11953,2020-04-30,MN,343.0,,24,365.0,94,73349.0,8116.0,648,81465.0,4347
12009,2020-04-29,MN,319.0,,18,320.0,38,69650.0,7468.0,680,77118.0,7082
12065,2020-04-28,MN,301.0,,15,314.0,51,63248.0,6788.0,601,70036.0,3346
12121,2020-04-27,MN,286.0,,14,292.0,32,60503.0,6187.0,675,66690.0,2017
12177,2020-04-26,MN,272.0,,28,285.0,32,59161.0,5512.0,385,64673.0,2564
12233,2020-04-25,MN,244.0,,23,288.0,41,56982.0,5127.0,339,62109.0,2615
12289,2020-04-24,MN,221.0,,21,278.0,44,54706.0,4788.0,518,59494.0,3080
12345,2020-04-23,MN,200.0,,21,268.0,52,52144.0,4270.0,512,56414.0,2491
12401,2020-04-22,MN,179.0,,19,240.0,31,50165.0,3758.0,306,53923.0,2130
12457,2020-04-21,MN,160.0,,17,237.0,27,48341.0,3452.0,262,51793.0,1749
12513,2020-04-20,MN,143.0,,9,237.0,28,46854.0,3190.0,276,50044.0,842
12569,2020-04-19,MN,134.0,,13,228.0,13,46288.0,2914.0,126,49202.0,1232
12625,2020-04-18,MN,121.0,,10,239.0,43,45182.0,2788.0,120,47970.0,1482
12681,2020-04-17,MN,111.0,,17,223.0,43,43820.0,2668.0,182,46488.0,1466
12737,2020-04-16,MN,94.0,,7,213.0,30,42536.0,2486.0,165,45022.0,1456
12793,2020-04-15,MN,87.0,,8,197.0,40,41245.0,2321.0,156,43566.0,1696
12849,2020-04-14,MN,79.0,,9,177.0,44,39705.0,2165.0,153,41870.0,1191
12905,2020-04-13,MN,70.0,,0,157.0,0,38667.0,2012.0,148,40679.0,785
12961,2020-04-12,MN,70.0,,6,157.0,21,38030.0,1864.0,58,39894.0,1190
13017,2020-04-11,MN,64.0,,7,145.0,23,36898.0,1806.0,74,38704.0,1626
13073,2020-04-10,MN,57.0,,7,143.0,24,35346.0,1732.0,95,37078.0,1759
13129,2020-04-09,MN,50.0,,11,145.0,22,33682.0,1637.0,103,35319.0,1831
13185,2020-04-08,MN,39.0,,5,135.0,29,31954.0,1534.0,102,33488.0,1453
13241,2020-04-07,MN,34.0,,4,120.0,19,30603.0,1432.0,102,32035.0,1550
13297,2020-04-06,MN,30.0,,1,115.0,21,29155.0,1330.0,113,30485.0,1178
13353,2020-04-05,MN,29.0,,5,106.0,22,28090.0,1217.0,59,29307.0,1462
13409,2020-04-04,MN,24.0,,2,95.0,24,26687.0,1158.0,39,27845.0,1663
13465,2020-04-03,MN,22.0,,4,86.0,18,25063.0,1119.0,63,26182.0,1346
13521,2020-04-02,MN,18.0,,1,75.0,16,23780.0,1056.0,83,24836.0,1983
13577,2020-04-01,MN,17.0,,5,54.0,10,21880.0,973.0,57,22853.0,1002
13633,2020-03-31,MN,12.0,,2,56.0,20,20935.0,916.0,93,21851.0,1516
13689,2020-03-30,MN,10.0,,1,56.0,17,19512.0,823.0,98,20335.0,1044
13745,2020-03-29,MN,9.0,,4,39.0,18,18566.0,725.0,38,19291.0,1209
13801,2020-03-28,MN,5.0,,1,30.0,6,17395.0,687.0,47,18082.0,3837
13857,2020-03-27,MN,4.0,,2,34.0,10,13605.0,640.0,75,14245.0,1076
13913,2020-03-26,MN,2.0,,1,31.0,6,12604.0,565.0,63,13169.0,1479
13969,2020-03-25,MN,1.0,,0,26.0,14,11188.0,502.0,58,11690.0,5696
14025,2020-03-24,MN,1.0,,0,,4,5550.0,444.0,51,5994.0,1090
14081,2020-03-23,MN,1.0,,0,,5,4511.0,393.0,44,4904.0,44
14137,2020-03-22,MN,1.0,,0,,12,4511.0,349.0,22,4860.0,581
14193,2020-03-21,MN,1.0,,1,,0,3952.0,327.0,24,4279.0,235
14249,2020-03-20,MN,,,0,,0,3741.0,303.0,16,4044.0,808
14305,2020-03-19,MN,,,0,,0,2949.0,287.0,18,3236.0,282
14361,2020-03-18,MN,,,0,,0,2685.0,269.0,23,2954.0,432
14417,2020-03-17,MN,,,0,,0,2276.0,246.0,67,2522.0,504
14473,2020-03-16,MN,,,0,,0,1839.0,179.0,51,2018.0,503
14527,2020-03-15,MN,,,0,,0,1387.0,128.0,38,1515.0,578
14578,2020-03-14,MN,,,0,,0,847.0,90.0,28,937.0,334
14629,2020-03-13,MN,,,0,,0,541.0,62.0,19,603.0,253
14680,2020-03-12,MN,,,0,,0,307.0,43.0,22,350.0,112
14731,2020-03-11,MN,,,0,,0,217.0,21.0,10,238.0,95
14782,2020-03-10,MN,,,0,,0,132.0,11.0,6,143.0,58
14833,2020-03-09,MN,,,0,,0,80.0,5.0,3,85.0,35
14884,2020-03-08,MN,,,0,,0,48.0,2.0,0,50.0,0
14935,2020-03-07,MN,,,0,,0,48.0,2.0,1,50.0,13
14981,2020-03-06,MN,,,0,,0,36.0,1.0,0,37.0,0
